feature_ID	mz	rtime
85.02865196_275.3154044	85.02865196	275.3154044
85.02868748_114.3203084	85.02868748	114.3203084
85.04799534_127.0756394	85.04799534	127.0756394
85.06507359_261.7958538	85.06507359	261.7958538
85.07627944_160.8882793	85.07627944	160.8882793
85.08438541_166.1982039	85.08438541	166.1982039
85.10143397_271.5915742	85.10143397	271.5915742
85.1148779_256.2715788	85.1148779	256.2715788
86.00232405_217.1287944	86.00232405	217.1287944
86.06029806_160.3520707	86.06029806	160.3520707
86.08185581_86.04735195	86.08185581	86.04735195
86.09666947_91.54952548	86.09666947	91.54952548
86.11153264_86.35956286	86.11153264	86.35956286
86.90890762_92.79341051	86.90890762	92.79341051
87.00430803_268.0443766	87.00430803	268.0443766
87.04433464_262.7579856	87.04433464	262.7579856
87.0555704_124.4164203	87.0555704	124.4164203
87.08076829_29.18922724	87.08076829	29.18922724
87.09191469_65.88527037	87.09191469	65.88527037
87.09192714_271.7840268	87.09192714	271.7840268
87.09374552_84.9780007	87.09374552	84.9780007
87.10006196_92.02453678	87.10006196	92.02453678
87.10296301_78.42978739	87.10296301	78.42978739
87.5098485_162.2429904	87.5098485	162.2429904
88.00467929_247.0076669	88.00467929	247.0076669
88.02180695_271.7838162	88.02180695	271.7838162
88.03958382_270.49055	88.03958382	270.49055
88.05807587_116.8305859	88.05807587	116.8305859
88.06337624_159.9821627	88.06337624	159.9821627
88.07595891_220.1870044	88.07595891	220.1870044
88.08406209_276.5472681	88.08406209	276.5472681
88.11232074_110.4591213	88.11232074	110.4591213
88.50937532_153.0528647	88.50937532	153.0528647
88.71948951_166.2550644	88.71948951	166.2550644
88.93230089_203.4590791	88.93230089	203.4590791
88.95270115_245.4665313	88.95270115	245.4665313
88.96869075_277.4486587	88.96869075	277.4486587
89.00315097_163.538498	89.00315097	163.538498
89.00858317_139.1825001	89.00858317	139.1825001
89.01101617_187.3684607	89.01101617	187.3684607
89.04221873_255.8462152	89.04221873	255.8462152
89.05510987_261.4497234	89.05510987	261.4497234
89.05511067_126.9254638	89.05511067	126.9254638
89.05994332_239.956496	89.05994332	239.956496
89.07118875_275.3648751	89.07118875	275.3648751
89.07927836_21.02259976	89.07927836	21.02259976
89.0793085_259.7794928	89.0793085	259.7794928
89.49130335_171.0038065	89.49130335	171.0038065
89.50703123_151.4798442	89.50703123	151.4798442
89.52279868_168.0041145	89.52279868	168.0041145
89.94015467_226.8119022	89.94015467	226.8119022
90.00556042_162.4209255	90.00556042	162.4209255
90.00873656_153.2708244	90.00873656	153.2708244
90.0379264_232.5431546	90.0379264	232.5431546
90.05525837_118.3849776	90.05525837	118.3849776
90.06334441_265.6932717	90.06334441	265.6932717
90.09163704_156.7946396	90.09163704	156.7946396
90.50724731_162.3523749	90.50724731	162.3523749
90.5103477_180.0270482	90.5103477	180.0270482
90.52612952_188.0014148	90.52612952	188.0014148
90.94799055_234.7222848	90.94799055	234.7222848
90.9608127_110.7084453	90.9608127	110.7084453
90.9769214_92.12525162	90.9769214	92.12525162
