datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.3200290386646971	0.28392027215174537
genes	antibody	13	1	0.15753909314418538	1
genes	antibody	10	1	0.14930964776259156	1
genes	antibody	5	1	0.1431423206329015	1
genes	antibody	11	1	0.13138712479105435	1
genes	antibody	4	1	0.1102071440237405	1
genes	antibody	1	1	0.09942844871199723	1
genes	antibody	8	1	0.09494185456045857	1
genes	antibody	6	1	0.09465142750362461	1
genes	antibody	12	1	0.09252967205232966	1
genes	antibody	2	1	0.06887627921383965	1
genes	antibody	9	1	0.06306938143064889	1
genes	antibody	3	1	0.039811460356433896	1
