datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.4300040569899604	0.10264995549385686
genes	antibody	12	1	0.3021389845993921	0.2467021352013691
genes	antibody	10	1	0.20907592515056012	1
genes	antibody	9	1	0.16159811045146086	1
genes	antibody	3	1	0.14316930786906684	1
genes	antibody	1	1	0.10496965537865642	1
genes	antibody	11	1	0.0941280609499924	1
genes	antibody	5	1	0.08941169604723878	1
genes	antibody	4	1	0.0613728234398013	1
genes	antibody	8	1	0.05866617538261811	1
genes	antibody	6	1	0.056254333349359475	1
genes	antibody	13	1	0.04760114383106959	1
genes	antibody	2	1	0.04733603507478499	1
