datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	9	1	0.23149482473914282	0.8735193926200021
genes	antibody	5	1	0.20910222956063165	1
genes	antibody	3	1	0.1577354706242627	1
genes	antibody	8	1	0.13914694727301072	1
genes	antibody	7	1	0.13669759742611032	1
genes	antibody	10	1	0.13099577220240663	1
genes	antibody	6	1	0.10565724229259929	1
genes	antibody	12	1	0.09273137962838568	1
genes	antibody	4	1	0.08974056296676045	1
genes	antibody	1	1	0.08444620515912016	1
genes	antibody	2	1	0.07357454214501313	1
genes	antibody	13	1	0.06265768154370069	1
genes	antibody	11	1	0.050055271547189584	1
