datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.5507074676015766	0.013605377976896113
genes	antibody	10	1	0.262939857405449	0.3927210665627739
genes	antibody	8	1	0.18377767200227338	1
genes	antibody	9	1	0.1820082476413178	1
genes	antibody	12	1	0.17249470519584395	1
genes	antibody	13	1	0.16941745597201222	1
genes	antibody	4	1	0.16393403261378264	1
genes	antibody	2	1	0.14232355276869685	1
genes	antibody	3	1	0.14180557814616157	1
genes	antibody	5	1	0.1336445511284355	1
genes	antibody	11	1	0.12993690744686662	1
genes	antibody	1	1	0.10611929491962781	1
genes	antibody	6	1	0.05119569800850576	1
